"source_city_name","source_lng","source_lat","source_country_name","source_country_code","source_continent","target_city_name","target_lng","target_lat","target_country_name","target_country_code","target_continent"
"Darmstadt",8.65,49.866666666,"Germany","DE","Europe","Graz",15.438611111,47.070833333,"Austria","AT","Europe"
"Maribor",15.633333333,46.55,"Slovenia","SI","Europe","Graz",15.438611111,47.070833333,"Austria","AT","Europe"
"Wiesbaden",8.24,50.0825,"Germany","DE","Europe","Klagenfurt am Wörthersee",14.3,46.616666666,"Austria","AT","Europe"
"Monterrey",-100.318055555,25.684444444,"Mexico","MX","North America","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
"Nizhny Novgorod",44.0075,56.326944444,"Russia","RU","Europe","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
"Krasnodar",38.983333333,45.033333333,"Russia","RU","Europe","Wels",14.016666666,48.15,"Austria","AT","Europe"
"Kurashiki",133.772111111,34.585083333,"Japan","JP","Asia","St. Pölten",15.616666666,48.2,"Austria","AT","Europe"
"Nasushiobara",140.046055555,36.961722222,"Japan","JP","Asia","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
"Tokaj",21.41,48.12,"Hungary","HU","Europe","Rust",16.675833333,47.800833333,"Austria","AT","Europe"
"Bergama",27.1777296,39.1191544,"Turkey","TR","Asia","Krems",15.616666666,48.416666666,"Austria","AT","Europe"
"Timișoara",21.23,45.759722222,"Romania","RO","Europe","Graz",15.438611111,47.070833333,"Austria","AT","Europe"
"Brașov",25.6,45.65,"Romania","RO","Europe","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
"Sibiu",24.15,45.8,"Romania","RO","Europe","Klagenfurt am Wörthersee",14.3,46.616666666,"Austria","AT","Europe"
"Coventry",-1.516666666,52.416666666,"United Kingdom","GB","Europe","Graz",15.438611111,47.070833333,"Austria","AT","Europe"
"Lagos",3.4,6.45,"Nigeria","NG","Africa","Salzburg",13.045,47.8,"Austria","AT","Europe"
"Shanghai",121.4691024,31.2323437,"China","CN","Asia","Salzburg",13.045,47.8,"Austria","AT","Europe"
"Dodoma",35.746,-6.1835,"Tanzania","TZ","Africa","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
"Chernivtsi",25.934444444,48.290833333,"Ukraine","UA","Europe","Klagenfurt am Wörthersee",14.3,46.616666666,"Austria","AT","Europe"
"Banja Luka",17.1925,44.7725,"Bosnia and Herz.","BA","Europe","Graz",15.438611111,47.070833333,"Austria","AT","Europe"
"Eskişehir",30.520555555,39.776666666,"Turkey","TR","Asia","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
"Laval",-73.75,45.5833,"Canada","CA","North America","Klagenfurt am Wörthersee",14.3,46.616666666,"Austria","AT","Europe"
"Zaporizhzhia",35.1175,47.85,"Ukraine","UA","Europe","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
"Aksaray",34.0297,38.3686,"Turkey","TR","Asia","Graz",15.438611111,47.070833333,"Austria","AT","Europe"
"Aksaray",34.0297,38.3686,"Turkey","TR","Asia","St. Pölten",15.616666666,48.2,"Austria","AT","Europe"
"Dushanbe",68.786388888,38.573055555,"Tajikistan","TJ","Asia","Klagenfurt am Wörthersee",14.3,46.616666666,"Austria","AT","Europe"
"Trondheim",10.4,63.44,"Norway","NO","Europe","Graz",15.438611111,47.070833333,"Austria","AT","Europe"
"New Orleans",-90.078333333,29.976111111,"United States of America","US","North America","Innsbruck",11.393333333,47.268333333,"Austria","AT","Europe"
"Tuzla",18.66709,44.53842,"Bosnia and Herz.","BA","Europe","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
"Wuhan",114.288055555,30.587222222,"China","CN","Asia","St. Pölten",15.616666666,48.2,"Austria","AT","Europe"
"České Budějovice",14.474722222,48.974722222,"Czechia","CZ","Europe","Linz",14.286388888,48.305833333,"Austria","AT","Europe"
